timestamp,level,message,level_score,msg_len,anomaly_score,status,explanation
2024-01-15 09:15:23,INFO,Application started successfully,1,32,1,✅ Normal,Looks normal to me
2024-01-15 09:15:24,INFO,Database connection established,1,31,1,✅ Normal,Looks normal to me
2024-01-15 09:16:01,WARNING,High memory usage detected: 85%,2,31,-1,❌ Anomaly,"Suspicious patterns found: memory, usage, high, 85; Contains suspicious terms: memory; Contains performance metrics"
2024-01-15 09:16:15,INFO,User login: user123 from 192.168.1.100,1,38,1,✅ Normal,Looks normal to me
2024-01-15 09:17:30,ERROR,Failed to connect to external API: timeout after 30s,3,52,1,✅ Normal,Looks normal to me
2024-01-15 09:17:31,ERROR,Retrying API connection attempt 1/3,3,35,1,✅ Normal,Looks normal to me
2024-01-15 09:17:45,INFO,API connection restored,1,23,-1,❌ Anomaly,"Suspicious patterns found: connection, api, restored; Message length is unusual"
2024-01-15 09:18:00,INFO,Processing batch job: 1000 records,1,34,1,✅ Normal,Looks normal to me
2024-01-15 09:20:15,WARNING,Disk space low: 15% remaining on /var/log,2,41,1,✅ Normal,Looks normal to me
2024-01-15 09:22:30,CRITICAL,Database connection lost - attempting reconnection,4,50,-1,❌ Anomaly,"Suspicious patterns found: connection, database, database connection, reconnection; High severity: CRITICAL"
2024-01-15 09:22:35,ERROR,Database reconnection failed: connection refused,3,48,1,✅ Normal,Looks normal to me
2024-01-15 09:22:40,INFO,Database connection restored,1,28,1,✅ Normal,Looks normal to me
2024-01-15 09:25:00,INFO,Scheduled backup completed successfully,1,39,1,✅ Normal,Looks normal to me
2024-01-15 09:30:15,WARNING,Unusual traffic pattern detected from 10.0.0.50,2,47,1,✅ Normal,Looks normal to me
2024-01-15 09:35:22,ERROR,Authentication failure for user: admin from 203.0.113.1,3,55,1,✅ Normal,Looks normal to me
2024-01-15 09:35:23,ERROR,Multiple failed login attempts detected,3,39,1,✅ Normal,Looks normal to me
2024-01-15 09:40:10,INFO,System health check passed,1,26,1,✅ Normal,Looks normal to me
2024-01-15 09:45:30,WARNING,CPU usage spike: 95% for 2 minutes,2,34,1,✅ Normal,Looks normal to me
2024-01-15 09:50:00,INFO,Load balancer redistributed traffic,1,35,1,✅ Normal,Looks normal to me
2024-01-15 09:55:15,ERROR,Unexpected exception in payment processing module,3,49,1,✅ Normal,Looks normal to me
2024-01-15 10:00:00,INFO,"Memory leak detected in user session handler: 2.1GB allocated, 1.8GB not freed",1,78,-1,❌ Anomaly,"Suspicious patterns found: user, memory, leak, session; Message length is unusual; Contains suspicious terms: user, memory, detected"
2024-01-15 10:00:30,INFO,"Heap memory usage increased to 3.2GB, threshold exceeded",1,56,1,✅ Normal,Looks normal to me
2024-01-15 10:01:00,WARNING,Memory allocation failed for new user sessions,2,46,1,✅ Normal,Looks normal to me
2024-01-15 10:01:30,INFO,"Garbage collection triggered, freed 500MB",1,41,1,✅ Normal,Looks normal to me
